id,name,height,weight,DOB,position_id,team_id
1,"Marques Bolden",NULL,NULL,NULL,3,2
2,"Wendell Carter",NULL,NULL,NULL,2,2
3,"Marvin Bagley",NULL,NULL,NULL,2,2
4,"Javin DeLaurier",NULL,NULL,NULL,2,2
5,"Trevon Duval",NULL,NULL,NULL,1,2
6,"Alex O Connell",NULL,NULL,NULL,1,2
7,"Gary Trent",NULL,NULL,NULL,1,2
8,"Grayson Allen",NULL,NULL,NULL,1,2
9,"Udoka Azubuike",NULL,NULL,NULL,3,1
10,"Silvio De Sousa",NULL,NULL,NULL,2,1
11,"Lagerald Vick",NULL,NULL,NULL,1,1
12,"Malik Newman",NULL,NULL,NULL,1,1
13,"Devonte Graham",NULL,NULL,NULL,1,1
14,"Sviatoslav Mykhailiuk",NULL,NULL,NULL,1,1
15,"Marcus Garrett",NULL,NULL,NULL,1,1
16,"Ike Obiagu",NULL,NULL,NULL,3,4
17,"Christ Koumadje",NULL,NULL,NULL,3,4
18,"Phil Cofer",NULL,NULL,NULL,2,4
19,"Mfiondu Kabengele",NULL,NULL,NULL,2,4
20,"Terance Mann",NULL,NULL,NULL,1,4
21,"Braian Angola",NULL,NULL,NULL,1,4
22,"M.J. Walker",NULL,NULL,NULL,1,4
23,"PJ Savoy",NULL,NULL,NULL,1,4
24,"CJ Walker",NULL,NULL,NULL,1,4
25,"Trent Forrest",NULL,NULL,NULL,1,4
26,"Jon Teske",NULL,NULL,NULL,3,3
27,"Isaiah Livers",NULL,NULL,NULL,2,3
28,"Moritz Wagner",NULL,NULL,NULL,2,3
29,"Muhammad-Ali Abdur-Rahkman",NULL,NULL,NULL,1,3
30,"Charles Matthews",NULL,NULL,NULL,1,3
31,"Jaaron Simmons",NULL,NULL,NULL,1,3
32,"Jordan Poole",NULL,NULL,NULL,1,3
33,"Zavier Simpson",NULL,NULL,NULL,1,3
34,"Duncan Robinson",NULL,NULL,NULL,1,3
35,"Xavier Sneed",NULL,NULL,NULL,2,5
36,"Mawdo Sallah",NULL,NULL,NULL,2,5
37,"Makol Mawien",NULL,NULL,NULL,2,5
38,"James Love",NULL,NULL,NULL,2,5
39,"Levi Stockard",NULL,NULL,NULL,2,5
40,"Pierson McAtee",NULL,NULL,NULL,2,5
41,"Barry Brown",NULL,NULL,NULL,1,5
42,"Amaad Wainright",NULL,NULL,NULL,1,5
43,"Brian Patrick",NULL,NULL,NULL,1,5
44,"Mason Schoen",NULL,NULL,NULL,1,5
45,"Kamau Stokes",NULL,NULL,NULL,1,5
46,"Mike McGuirl",NULL,NULL,NULL,1,5
47,"Cartier Diarra",NULL,NULL,NULL,1,5
48,"Kade Kinnamon",NULL,NULL,NULL,1,5
49,"Cameron Krutwig",NULL,NULL,NULL,3,6
50,"Carson Shanks",NULL,NULL,NULL,3,6
51,"Aundre Jackson",NULL,NULL,NULL,2,6
52,"Nick DiNardi",NULL,NULL,NULL,2,6
53,"Christian Negron",NULL,NULL,NULL,2,6
54,"Ben Richardson",NULL,NULL,NULL,1,6
55,"Clayton Custer",NULL,NULL,NULL,1,6
56,"Bruno Skokna",NULL,NULL,NULL,1,6
57,"Lucas Williamson",NULL,NULL,NULL,1,6
58,"Marques Townes",NULL,NULL,NULL,1,6
59,"Cameron Satterwhite",NULL,NULL,NULL,1,6
60,"Donte Ingram",NULL,NULL,NULL,1,6
61,"Norense Odiase",NULL,NULL,NULL,3,8
62,"Zach Smith",NULL,NULL,NULL,2,8
63,"Malik Ondigo",NULL,NULL,NULL,2,8
64,"Tommy Hamilton",NULL,NULL,NULL,2,8
65,"Justin Gray",NULL,NULL,NULL,2,8
66,"Keenan Evans",NULL,NULL,NULL,1,8
67,"Jarrett Culver",NULL,NULL,NULL,1,8
68,"Andrew Sorrells",NULL,NULL,NULL,1,8
69,"Davide Moretti",NULL,NULL,NULL,1,8
70,"Josh Webster",NULL,NULL,NULL,1,8
71,"Brandone Francis",NULL,NULL,NULL,1,8
72,"Zhaire Smith",NULL,NULL,NULL,1,8
73,"Niem Stevenson",NULL,NULL,NULL,1,8
74,"Omari Spellman",NULL,NULL,NULL,2,7
75,"Eric Paschall",NULL,NULL,NULL,2,7
76,"Tim Delaney",NULL,NULL,NULL,2,7
77,"Jalen Brunson",NULL,NULL,NULL,1,7
78,"Collin Gillespie",NULL,NULL,NULL,1,7
79,"Donte DiVincenzo",NULL,NULL,NULL,1,7
80,"Phil Booth",NULL,NULL,NULL,1,7
81,"Denny Grace",NULL,NULL,NULL,1,7
82,"Mikal Bridges",NULL,NULL,NULL,1,7
83,"Dhamir Cosby-Roundtree",NULL,NULL,NULL,2,7
84,"Jermaine Samuels",NULL,NULL,NULL,2,7
