team_id,game_id,FGM,FGA,3PA,3PM,FTA,FTM,OREB,REB,AST,ST,BLK,Turnover,PF,PTS
7,7,27,57,27,10,20,15,12,38,7,5,3,12,18,79
3,7,24,55,23,3,18,11,4,25,6,6,1,10,20,62
6,6,23,51,10,1,14,12,5,31,6,5,1,17,17,57
3,6,25,59,28,7,18,12,10,35,8,10,1,11,11,69
7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,6,15,9,3,0,0,2,13,0,0,3,2,4,15
7,5,10,11,5,4,0,0,3,3,3,0,0,1,3,24
7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,7,14,8,3,3,1,0,2,6,1,0,2,1,18
7,5,1,2,2,1,0,0,0,1,0,0,0,1,2,3
7,5,4,6,5,3,4,4,1,8,3,0,0,0,2,15
7,5,4,9,6,2,0,0,1,3,6,0,0,2,1,10
7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,4,8,5,2,0,0,0,3,2,2,2,1,0,10
7,5,36,65,40,18,7,5,7,33,20,3,5,9,14,95
7,5,36,65,40,18,7,5,7,33,20,3,5,9,14,95
1,5,28,62,18,6,20,16,7,30,8,5,1,8,12,79
