player_id,Player,Three_Attempts,Team
79,"Donte DiVincenzo",14,Villanova
82,"Mikal Bridges",14,Villanova
29,"Muhammad-Ali Abdur-Rahkman",12,Michigan
28,"Moritz Wagner",11,Michigan
77,"Jalen Brunson",10,Villanova
34,"Duncan Robinson",9,Michigan
13,"Devonte Graham",8,Kansas
75,"Eric Paschall",6,Villanova
80,"Phil Booth",6,Villanova
32,"Jordan Poole",5,Michigan
33,"Zavier Simpson",5,Michigan
14,"Sviatoslav Mykhailiuk",4,Kansas
30,"Charles Matthews",4,Michigan
74,"Omari Spellman",4,Villanova
55,"Clayton Custer",3,Loyola
58,"Marques Townes",2,Loyola
12,"Malik Newman",2,Kansas
11,"Lagerald Vick",2,Kansas
31,"Jaaron Simmons",2,Michigan
27,"Isaiah Livers",2,Michigan
15,"Marcus Garrett",2,Kansas
60,"Donte Ingram",2,Loyola
57,"Lucas Williamson",1,Loyola
56,"Bruno Skokna",1,Loyola
54,"Ben Richardson",1,Loyola
